experience_level,years_experience,employment_type,company_size,remote_ratio,benefits_score,job_description_length,skill_count
2,9,0,1,50,5.9,1076,5
0,1,0,1,100,5.2,1268,5
1,2,0,2,0,9.4,1974,5
2,7,0,1,50,8.6,1345,4
0,0,0,0,100,6.6,1989,4
2,7,0,1,50,5.9,819,4
1,3,0,0,0,6.3,1936,3
0,0,0,2,0,7.6,1286,5
2,7,0,2,0,9.3,551,4
2,5,0,1,0,5.8,2340,5
2,8,0,1,100,9.9,1047,3
3,15,0,0,0,6.8,513,4
2,5,0,1,100,5.2,760,3
0,0,0,0,0,9.1,1657,3
2,6,1,1,100,9.8,1466,4
0,0,0,2,0,9.6,2059,3
0,1,1,2,100,5.8,1200,3
3,15,0,2,100,8.7,2142,3
2,9,0,1,0,8.6,589,5
1,4,0,2,100,6.7,1809,5
1,3,1,1,0,9.6,969,3
1,2,0,1,0,10.0,625,5
2,7,0,0,0,6.9,1629,3
1,4,1,1,100,9.3,2298,3
1,2,1,0,0,7.4,1006,5
2,6,0,2,100,8.8,1146,5
1,2,0,0,50,7.7,2109,4
1,2,0,1,0,8.6,2101,5
0,0,0,1,50,8.6,2187,5
1,2,0,2,100,6.3,1212,5
0,1,1,1,100,6.0,887,5
0,1,1,1,0,9.2,1910,3
2,7,1,0,50,5.3,684,3
3,16,0,1,0,5.7,1850,5
2,8,0,2,0,7.9,1504,4
3,10,0,2,0,9.9,1261,3
1,2,0,1,100,6.1,998,5
3,18,0,0,0,8.1,1030,4
0,1,0,1,50,8.0,2323,3
3,15,0,2,100,5.1,831,3
1,2,1,1,0,5.3,761,4
2,8,0,2,50,7.5,2290,3
0,1,0,2,100,5.5,502,3
2,8,1,1,50,8.0,1281,4
2,5,0,1,50,7.4,1926,3
2,7,0,1,50,5.4,1151,3
0,1,0,0,50,9.7,2012,3
1,4,0,2,0,8.8,1584,3
3,12,0,0,0,7.2,1930,5
3,19,0,1,50,8.0,1556,5
1,4,1,0,0,9.2,1974,3
3,17,1,1,100,5.5,2028,5
1,3,0,0,100,5.4,2028,3
2,8,0,0,100,7.5,1219,4
1,4,0,0,50,8.6,1714,4
1,3,0,2,0,9.1,1528,5
1,4,0,2,100,5.6,1325,4
0,0,0,2,100,6.6,1872,5
1,4,1,1,0,7.9,793,3
2,8,0,0,0,9.0,1945,3
0,1,1,1,0,10.0,1907,5
2,6,0,0,50,6.2,1714,4
1,3,0,1,0,5.8,2199,4
1,4,0,1,50,6.5,799,5
0,0,0,2,0,7.1,909,3
2,8,1,0,100,8.1,508,4
1,4,0,2,0,9.5,1153,5
3,12,0,1,0,7.0,2452,4
0,0,0,1,100,9.6,583,4
1,3,1,2,100,8.7,548,4
1,4,0,1,100,8.2,912,3
2,7,0,0,100,8.4,761,4
1,3,0,0,50,9.9,2077,5
2,9,0,0,50,7.8,2396,3
0,0,0,0,100,7.9,1778,4
0,0,0,1,100,5.2,1366,3
3,16,1,0,100,9.2,2383,4
1,2,0,1,50,7.5,1350,3
2,6,0,2,0,6.3,1008,3
3,12,0,1,0,7.0,2231,3
3,17,0,2,50,8.4,639,5
3,19,0,2,100,7.5,826,5
3,10,0,1,0,6.7,2292,4
1,3,0,0,50,7.4,804,5
3,13,0,2,100,8.4,757,5
0,0,1,1,50,6.4,678,5
0,0,0,0,50,8.3,1207,3
0,0,1,0,100,7.0,1517,4
3,11,0,1,50,6.9,1294,5
0,0,0,2,50,6.8,841,4
0,0,0,0,100,5.7,1146,4
2,8,0,0,50,6.0,2419,5
2,9,0,0,0,6.9,2457,4
1,3,0,2,0,9.5,1299,3
3,19,0,0,50,8.9,1559,5
2,8,1,1,50,8.6,598,5
2,6,1,0,0,6.1,2049,3
1,4,1,1,0,6.2,1909,5
3,12,0,2,50,5.6,1137,4
2,8,0,2,0,8.7,916,5
2,9,1,2,100,6.6,579,3
3,16,0,2,100,9.5,1690,5
1,3,0,1,100,6.5,859,5
1,3,1,0,0,5.3,701,3
3,13,1,0,100,6.3,1102,4
1,2,1,0,0,8.1,2162,4
3,16,0,2,50,9.0,548,4
1,2,1,1,100,6.5,2298,5
1,2,0,0,100,7.1,1397,5
1,2,0,1,0,8.8,2385,3
3,18,0,0,100,6.6,1646,4
3,18,0,0,50,7.8,926,4
2,9,0,1,100,8.2,1560,3
2,6,0,2,50,9.1,1169,5
2,7,0,0,50,7.9,608,4
0,0,0,1,100,6.9,1891,5
0,0,1,2,100,7.0,2015,5
2,7,0,0,50,9.9,635,5
